================================================================================
IPv4 Conversations
Filter:<No Filter>
                                               |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                               | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
10.0.2.4             <-> 10.0.2.15               1841 184 kB       4166 3,468 kB     6007 3,652 kB     78.082576000      1434.6036
10.0.2.15            <-> 192.168.1.1                6 1,032 bytes      46 3,624 bytes      52 4,656 bytes     0.948048000      1029.9916
10.0.2.15            <-> 20.242.39.171             19 6,743 bytes      16 12 kB          35 19 kB         0.957982000         3.4821
10.0.2.15            <-> 224.0.0.22                 0 0 bytes        25 1,350 bytes      25 1,350 bytes    84.546591000      1199.7954
10.0.2.15            <-> 23.58.93.34               10 1,645 bytes      14 1,805 bytes      24 3,450 bytes    53.750251000        63.2284
10.0.2.15            <-> 20.42.73.29               13 5,670 bytes      11 5,459 bytes      24 11 kB       573.288138000         1.2100
10.0.2.15            <-> 20.198.119.143            10 5,352 bytes      11 2,870 bytes      21 8,222 bytes  1030.943915000         0.3470
10.0.2.15            <-> 40.81.94.65                7 630 bytes       7 630 bytes      14 1,260 bytes    77.532248000      1280.2031
10.0.2.15            <-> 224.0.0.251                0 0 bytes        14 1,274 bytes      14 1,274 bytes    84.560786000      1199.3855
10.0.2.15            <-> 216.58.200.163             5 734 bytes       7 792 bytes      12 1,526 bytes    53.663407000        63.3154
10.0.2.15            <-> 10.0.2.3                   5 2,950 bytes       5 1,710 bytes      10 4,660 bytes    84.517280000      1199.3760
10.0.2.15            <-> 224.0.0.252                0 0 bytes         7 462 bytes       7 462 bytes    84.567243000      1199.3847
10.0.2.15            <-> 20.198.118.190             3 343 bytes       2 207 bytes       5 550 bytes   608.774473000       343.0272
10.0.2.15            <-> 52.252.198.177             2 120 bytes       2 108 bytes       4 228 bytes     0.000000000         0.2820
10.0.2.15            <-> 104.26.10.240              2 120 bytes       2 108 bytes       4 228 bytes   102.344396000         0.0098
10.0.2.15            <-> 10.0.2.255                 0 0 bytes         2 486 bytes       2 486 bytes   145.653875000       720.2510
================================================================================
