commande : python3 tool/volatility3/vol.py -f memdump.mem windows.netscan > txt_results_ram/results_ram_netscan.txt

Volatility 3 Framework 2.28.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xce0652abd010	TCPv4	10.0.2.15	445	10.0.2.4	46228	CLOSED	4	System	2024-09-10 05:45:28.000000 UTC
0xce0654655980	TCPv4	0.0.0.0	49670	0.0.0.0	0	LISTENING	2128	spoolsv.exe	2024-09-10 05:30:19.000000 UTC
0xce0654655980	TCPv6	::	49670	::	0	LISTENING	2128	spoolsv.exe	2024-09-10 05:30:19.000000 UTC
0xce0654c9f5a0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	908	svchost.exe	2024-09-10 05:29:14.000000 UTC
0xce0654c9f6f0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1132	svchost.exe	2024-09-10 05:29:28.000000 UTC
0xce0654c9f990	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1628	svchost.exe	2024-09-10 05:29:50.000000 UTC
0xce0654c9fd80	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1628	svchost.exe	2024-09-10 05:29:50.000000 UTC
0xce0654c9fd80	TCPv6	::	49667	::	0	LISTENING	1628	svchost.exe	2024-09-10 05:29:50.000000 UTC
0xce0654ca02c0	TCPv4	10.0.2.15	139	0.0.0.0	0	LISTENING	4	System	2024-09-10 05:29:32.000000 UTC
0xce0654ca0560	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	640	lsass.exe	2024-09-10 05:29:22.000000 UTC
0xce0654ca1280	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	908	svchost.exe	2024-09-10 05:29:14.000000 UTC
0xce0654ca1280	TCPv6	::	135	::	0	LISTENING	908	svchost.exe	2024-09-10 05:29:14.000000 UTC
0xce0654ca13d0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	508	wininit.exe	2024-09-10 05:29:15.000000 UTC
0xce0654ca1670	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	508	wininit.exe	2024-09-10 05:29:15.000000 UTC
0xce0654ca1670	TCPv6	::	49664	::	0	LISTENING	508	wininit.exe	2024-09-10 05:29:15.000000 UTC
0xce0654ca17c0	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	640	lsass.exe	2024-09-10 05:29:22.000000 UTC
0xce0654ca17c0	TCPv6	::	49665	::	0	LISTENING	640	lsass.exe	2024-09-10 05:29:22.000000 UTC
0xce0654ca1910	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1132	svchost.exe	2024-09-10 05:29:28.000000 UTC
0xce0654ca1910	TCPv6	::	49666	::	0	LISTENING	1132	svchost.exe	2024-09-10 05:29:28.000000 UTC
0xce0654ca20f0	TCPv4	0.0.0.0	49670	0.0.0.0	0	LISTENING	2128	spoolsv.exe	2024-09-10 05:30:19.000000 UTC
0xce0654caa9f0	UDPv4	0.0.0.0	0	*	0		1512	svchost.exe	2024-09-10 05:29:35.000000 UTC
0xce0654caa9f0	UDPv6	::	0	*	0		1512	svchost.exe	2024-09-10 05:29:35.000000 UTC
0xce0654cab400	UDPv4	0.0.0.0	0	*	0		1512	svchost.exe	2024-09-10 05:29:35.000000 UTC
0xce0654cac3d0	UDPv4	0.0.0.0	0	*	0		1512	svchost.exe	2024-09-10 05:29:35.000000 UTC
0xce0654cac3d0	UDPv6	::	0	*	0		1512	svchost.exe	2024-09-10 05:29:35.000000 UTC
0xce0654feabf0	UDPv4	0.0.0.0	0	*	0		1512	svchost.exe	2024-09-10 05:49:35.000000 UTC
0xce0654feabf0	UDPv6	::	0	*	0		1512	svchost.exe	2024-09-10 05:49:35.000000 UTC
0xce0654feb770	UDPv4	0.0.0.0	0	*	0		4	System	2024-09-10 05:29:32.000000 UTC
0xce0654fecb90	UDPv4	0.0.0.0	0	*	0		4	System	2024-09-10 05:29:32.000000 UTC
0xce0654ff0db0	UDPv4	0.0.0.0	0	*	0		780	svchost.exe	2024-09-10 05:29:57.000000 UTC
0xce0654ff1090	UDPv4	0.0.0.0	0	*	0		780	svchost.exe	2024-09-10 05:29:57.000000 UTC
0xce0654ff1090	UDPv6	::	0	*	0		780	svchost.exe	2024-09-10 05:29:57.000000 UTC
